[0.020s][info][gc] Using The Z Garbage Collector
[128.842s][info][gc] GC(144) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[129.842s][info][gc] GC(145) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[130.841s][info][gc] GC(146) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[131.841s][info][gc] GC(147) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[132.841s][info][gc] GC(148) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[133.842s][info][gc] GC(149) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[134.841s][info][gc] GC(150) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[135.841s][info][gc] GC(151) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[136.841s][info][gc] GC(152) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[137.842s][info][gc] GC(153) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[138.841s][info][gc] GC(154) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[139.841s][info][gc] GC(155) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[140.841s][info][gc] GC(156) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[141.841s][info][gc] GC(157) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[142.842s][info][gc] GC(158) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[143.841s][info][gc] GC(159) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[144.841s][info][gc] GC(160) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[145.842s][info][gc] GC(161) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[146.842s][info][gc] GC(162) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[147.841s][info][gc] GC(163) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[148.841s][info][gc] GC(164) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[149.841s][info][gc] GC(165) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[150.842s][info][gc] GC(166) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[151.842s][info][gc] GC(167) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[152.841s][info][gc] GC(168) Garbage Collection (Proactive) 10M(50%)->10M(50%)
[167.942s][info][gc] GC(169) Garbage Collection (Proactive) 12M(60%)->8M(40%)
[168.842s][info][gc] GC(170) Garbage Collection (Proactive) 10M(50%)->10M(50%)
[176.941s][info][gc] GC(171) Garbage Collection (Proactive) 12M(60%)->8M(40%)
[177.842s][info][gc] GC(172) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[178.343s][info][gc] GC(173) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[178.842s][info][gc] GC(174) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[179.343s][info][gc] GC(175) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[179.842s][info][gc] GC(176) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[180.342s][info][gc] GC(177) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[180.842s][info][gc] GC(178) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[181.342s][info][gc] GC(179) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[181.842s][info][gc] GC(180) Garbage Collection (Proactive) 10M(50%)->8M(40%)
